,Duración (s),Daño total,Daño recibido,Oro acumulado,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,KDA
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,1607.8,24526.5,17768.9,12468.6,4.2,4453.2,16725.8,7.7,0.1,7.7,14292.0,14.9,0.9,10.6,7.6,7.7,3.6,1.0,0.1,0.1,0.0,0.4,0.3,1.7,0.0,211.7,4935.0,144.8,95.9,21.1,7.4,6.2,19.0
std,405.24088858082644,10383.406487168735,6032.338489802736,3398.3489520648113,2.485513584307633,3305.864008764493,15055.487525225553,4.877385456255112,0.31622776601683794,3.8311588035185618,3752.4440924105274,1.9692073983655907,1.5951314818673865,6.501281924871946,5.274677451960662,3.8311588035185618,1.9550504398153572,0.816496580927726,0.31622776601683794,0.31622776601683794,0.0,0.5163977794943223,0.4830458915396479,1.0593499054713802,0.0,54.46109722647085,2754.1583106277676,153.56779176203148,58.2589048987363,7.79529772790409,2.6749870196985173,3.489667287547307,6.99205898780101
min,1144.0,9878.0,10049.0,7659.0,0.0,0.0,0.0,1.0,0.0,1.0,8392.0,11.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,2001.0,12.0,14.0,8.0,2.0,2.0,11.0
25%,1302.75,16909.75,12837.75,10508.75,3.0,2022.75,5391.0,6.0,0.0,4.75,12618.75,14.0,0.0,4.5,4.0,4.75,3.0,0.25,0.0,0.0,0.0,0.0,0.0,1.25,0.0,179.0,2428.75,48.5,67.25,17.25,6.5,3.25,14.25
50%,1524.0,25997.0,16959.0,12812.5,3.5,4426.0,13770.0,7.0,0.0,8.0,14504.0,15.5,0.0,11.0,6.5,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,217.0,4375.5,92.5,93.5,20.0,8.0,6.0,18.0
75%,1797.75,33591.25,21181.5,14270.25,5.0,6859.5,28285.25,9.5,0.0,11.25,16033.5,16.0,1.0,15.0,9.75,11.25,4.75,1.75,0.0,0.0,0.0,1.0,0.75,2.0,0.0,242.5,7004.5,191.5,118.0,25.5,9.0,7.75,20.75
max,2378.0,37106.0,28616.0,18372.0,9.0,10060.0,43639.0,19.0,1.0,12.0,21823.0,18.0,5.0,22.0,20.0,12.0,7.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,286.0,9847.0,530.0,220.0,37.0,11.0,13.0,35.0
