,Duración (s),Daño total,Daño recibido,Oro acumulado,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,KDA
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,1825.8,28861.9,32814.7,13128.4,2.5,2945.7,7449.1,8.9,0.1,7.6,16366.0,15.8,0.1,4.4,6.6,7.6,7.3,0.3,0.0,0.0,0.0,0.2,0.0,0.9,0.1,207.6,5941.1,299.3,235.8,16.9,8.4,1.9,23.8
std,481.5502281405567,20811.45013608294,13228.636043321574,4858.23095832675,1.7795130420052185,2380.9568128053993,7492.124152883628,5.173651192984184,0.31622776601683794,5.232377832092955,5660.344512483317,2.699794230842212,0.31622776601683794,7.167829363048327,5.059644256269407,5.232377832092955,3.0568684048294332,0.6749485577105528,0.0,0.0,0.0,0.6324555320336759,0.0,1.1972189997378648,0.31622776601683794,71.016742939801,6380.26090462695,186.26924956453047,130.0442659678277,7.400450436741447,2.913569784454954,1.5951314818673865,11.745448290957462
min,1167.0,7867.0,16044.0,6377.0,0.0,0.0,0.0,2.0,0.0,0.0,8862.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,492.0,54.0,65.0,8.0,4.0,0.0,7.0
25%,1401.25,14888.5,19828.0,9022.25,2.0,1539.0,2072.75,4.25,0.0,3.5,11645.5,13.25,0.0,0.0,3.5,3.5,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.5,1415.25,171.0,163.5,10.5,7.0,0.25,16.75
50%,1857.0,23892.5,33758.5,13898.0,2.0,3102.0,4348.0,8.5,0.0,7.5,17521.0,17.5,0.0,1.0,5.5,7.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,187.0,4932.0,274.5,187.0,15.5,7.5,2.0,20.5
75%,2170.0,34571.25,41871.25,16188.75,3.75,3757.5,12341.5,12.75,0.0,10.75,20071.75,18.0,0.0,5.75,10.0,10.75,10.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,250.0,7379.25,410.25,320.0,23.0,9.75,3.0,34.75
max,2620.0,80421.0,51301.0,21696.0,5.0,8210.0,21968.0,17.0,1.0,16.0,26156.0,18.0,1.0,23.0,16.0,16.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,350.0,22166.0,634.0,450.0,29.0,13.0,4.0,40.0
