,Duración (s),Daño total,Daño recibido,Oro acumulado,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,KDA
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,1602.7,17721.1,27105.2,10999.8,1.6,3382.8,5851.9,11.5,0.0,4.8,13391.6,14.5,0.8,0.6,1.6,4.8,8.1,0.2,0.0,0.0,0.0,0.1,0.0,0.7,0.1,119.8,7110.7,175.4,216.7,26.2,11.6,1.8,24.4
std,447.8730102756063,6030.650240415392,9378.168487384824,3552.153487674765,1.1737877907772674,3954.791434309639,7386.862173255073,7.090682462060882,0.0,3.0477678535099897,5826.430262175975,3.4399612400917157,1.3165611772087669,0.8432740427115678,2.011080417199781,3.0477678535099897,3.2812599206199238,0.42163702135578396,0.0,0.0,0.0,0.31622776601683794,0.0,1.0593499054713802,0.31622776601683794,77.75288490539184,5606.930018587117,97.39404499249427,110.76005096102516,18.11567767923071,7.662317607037124,1.7511900715418265,9.155447680054877
min,715.0,11251.0,15213.0,5398.0,0.0,0.0,0.0,1.0,0.0,0.0,7884.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,138.0,51.0,16.0,0.0,0.0,0.0,3.0
25%,1295.5,12721.75,17321.0,8354.75,0.5,453.75,1798.0,8.0,0.0,2.25,9823.25,12.25,0.0,0.0,0.0,2.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.75,2475.0,95.75,148.25,14.5,9.25,0.25,22.25
50%,1846.5,16630.0,29759.5,11223.5,2.0,1826.0,3334.0,9.0,0.0,5.5,13487.0,15.0,0.0,0.0,1.0,5.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.5,7217.5,178.5,251.0,22.0,10.5,1.5,24.0
75%,1929.75,20976.5,35253.25,13508.25,2.0,5269.25,6948.5,15.75,0.0,6.0,13944.75,15.0,1.0,1.0,2.0,6.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,178.75,10633.0,230.75,306.75,39.0,15.5,2.75,30.5
max,2020.0,30651.0,38491.0,16599.0,3.0,12029.0,25128.0,26.0,0.0,10.0,28395.0,23.0,4.0,2.0,6.0,10.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,235.0,17249.0,352.0,327.0,55.0,27.0,5.0,37.0
