,Duración (s),Daño total,Daño recibido,Oro acumulado,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,KDA
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,1142.4,37899.4,30322.3,16462.7,4.8,8562.4,30780.8,9.3,0.0,10.9,24298.1,20.5,0.2,1.1,0.6,10.9,6.3,1.2,0.2,0.1,0.0,0.4,0.2,2.0,0.0,116.0,4196.1,254.1,174.5,21.4,13.5,0.8,26.5
std,347.16477035807907,22636.42788957657,17895.791485709702,5896.495212317983,3.2930904093942583,2830.0837521961157,31334.677282525186,5.3343748982946035,0.0,8.504247304860215,11487.480871220925,6.276056794587577,0.6324555320336759,1.728840330651992,1.0749676997731399,8.504247304860215,2.7507574714370344,1.2292725943057183,0.42163702135578396,0.31622776601683794,0.0,0.6992058987801011,0.42163702135578396,0.9428090415820634,0.0,55.44767303002394,4752.09928931999,161.65769734569125,93.0331482143148,11.027239001672179,4.552166761249221,1.5491933384829668,9.513148795220223
min,616.0,7337.0,9663.0,8610.0,2.0,2597.0,7539.0,4.0,0.0,2.0,8209.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,160.0,19.0,34.0,8.0,7.0,0.0,11.0
25%,914.5,21250.5,14720.25,12655.75,2.25,7457.5,10834.0,5.5,0.0,5.0,16606.5,16.5,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,79.25,330.5,110.75,98.0,13.25,12.0,0.0,19.0
50%,1112.5,37322.5,29357.5,16589.0,3.5,8371.0,12871.5,7.5,0.0,9.5,24304.0,20.5,0.0,0.0,0.0,9.5,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,111.5,2321.0,291.5,200.0,20.5,13.0,0.0,27.0
75%,1320.0,46240.25,40124.25,19018.75,5.75,10432.5,53282.5,11.75,0.0,14.5,30148.0,23.75,0.0,1.75,0.75,14.5,8.0,2.0,0.0,0.0,0.0,0.75,0.0,2.0,0.0,135.75,7262.5,360.75,251.0,26.5,15.75,1.0,32.75
max,1728.0,74956.0,62742.0,26036.0,11.0,12393.0,82480.0,21.0,0.0,30.0,41596.0,30.0,2.0,5.0,3.0,30.0,9.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,233.0,13591.0,461.0,294.0,40.0,21.0,5.0,43.0
