,Duración (s),Daño total,Daño recibido,Oro acumulado,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,KDA
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,1552.2,24476.1,23309.4,10603.6,3.2,3473.3,6000.1,6.0,0.1,5.2,13327.1,14.1,0.1,3.1,11.8,5.2,4.9,0.4,0.1,0.0,0.0,0.0,0.0,1.1,0.0,179.7,3206.4,305.3,127.7,30.6,13.2,3.5,16.1
std,395.81836462925486,15904.570338602536,8742.733772809408,3884.2438474774813,2.6583202716502514,2769.52591410315,4573.597768108215,5.033222956847166,0.31622776601683794,2.8596814119369625,5222.9364122748675,2.766867462592951,0.31622776601683794,3.4140233677518315,7.284687135812125,2.8596814119369625,3.314949304120485,0.8432740427115679,0.31622776601683794,0.0,0.0,0.0,0.0,1.286683937707919,0.0,81.98516125901483,3109.2692674932123,283.39060205541983,80.77272642008151,20.473288830951308,11.232888220657133,2.6770630673681683,7.723700897597962
min,807.0,6156.0,8657.0,5990.0,0.0,0.0,716.0,0.0,0.0,1.0,7138.0,10.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,56.0,69.0,12.0,9.0,4.0,0.0,5.0
25%,1401.25,12296.75,17448.75,7282.25,2.0,1438.75,1975.75,2.25,0.0,4.0,9718.75,12.25,0.0,1.25,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5,1402.75,100.75,82.75,18.5,7.0,1.0,11.0
50%,1555.0,20541.0,23123.5,9717.5,2.5,3155.5,4835.0,4.5,0.0,5.0,12101.0,13.5,0.0,2.0,7.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,193.0,1975.5,201.5,129.0,28.5,11.0,3.5,15.5
75%,1717.25,32763.25,30070.5,13299.0,4.0,4434.25,9243.75,10.75,0.0,6.75,16692.75,16.75,0.0,3.0,18.75,6.75,5.75,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,219.5,4242.5,363.5,136.5,34.75,14.75,5.75,20.75
max,2267.0,53356.0,35678.0,17821.0,8.0,9261.0,13467.0,14.0,1.0,11.0,23712.0,18.0,1.0,11.0,23.0,11.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,332.0,10419.0,827.0,316.0,82.0,43.0,7.0,30.0
