,Duración (s),Daño total,Daño recibido,Oro acumulado,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,KDA
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,1513.4,16988.5,31919.1,9967.7,2.6,532.0,16128.7,9.1,0.1,5.6,11164.7,13.2,0.5,11.4,4.7,5.6,5.1,0.3,0.0,0.0,0.0,0.5,0.2,0.2,0.0,30.5,16417.0,296.9,123.5,40.7,12.1,7.2,19.8
std,294.1806701105065,8422.409436866757,11333.935694286527,2591.5285086433278,1.577621275493231,715.7928005598641,14936.54753392943,5.952590472502987,0.31622776601683794,3.3065591380365986,3709.128200953846,2.3944379994757297,0.5270462766947299,5.815687596683837,3.7727090178455764,3.3065591380365986,1.9692073983655907,0.4830458915396479,0.0,0.0,0.0,0.97182531580755,0.6324555320336759,0.42163702135578396,0.0,13.318742016004698,7899.323796657815,249.04638122245424,54.77681991499689,26.985798734396088,11.259070417519673,4.289522117905444,8.966604708583958
min,1060.0,6471.0,14458.0,6586.0,0.0,0.0,30.0,2.0,0.0,1.0,5294.0,9.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2807.0,30.0,48.0,22.0,4.0,4.0,9.0
25%,1397.75,10360.25,25885.25,7587.25,2.25,0.0,4000.5,4.25,0.0,3.25,9014.75,12.0,0.0,8.25,2.25,3.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,11304.75,142.0,74.75,24.5,5.0,4.0,13.25
50%,1537.0,14248.0,31213.5,9788.0,3.0,250.5,11492.0,7.5,0.0,5.5,10804.0,13.0,0.5,11.0,3.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16638.0,227.5,121.5,34.0,8.5,5.5,17.0
75%,1617.0,25263.25,38974.75,12294.25,3.0,833.0,26557.0,12.0,0.0,7.5,14460.0,15.5,1.0,13.0,8.5,7.5,6.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,34.25,20337.75,442.5,179.5,37.75,12.5,9.25,26.5
max,2011.0,27762.0,51383.0,13244.0,5.0,2218.0,45681.0,19.0,1.0,11.0,16197.0,16.0,1.0,24.0,10.0,11.0,8.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,53.0,27548.0,828.0,190.0,112.0,40.0,17.0,36.0
