,Duración (s),Daño total,Daño recibido,Oro acumulado,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,KDA
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,1724.2,22524.8,25450.3,11984.8,3.2,4702.9,18486.6,7.4,0.0,4.1,15338.1,15.2,0.4,7.7,1.0,4.1,5.2,0.3,0.1,0.0,0.0,0.6,0.2,1.5,0.1,158.2,6990.0,372.8,168.6,17.5,7.9,2.4,16.7
std,382.25640028069586,11962.5025791243,7078.57746302179,3503.0442253052483,2.6997942308422114,4694.163313212602,12429.692095945098,4.993328882953068,0.0,2.884826203122507,5124.856170339483,2.3944379994757297,0.6992058987801011,5.186520991955976,1.4142135623730951,2.884826203122507,2.485513584307633,0.4830458915396479,0.31622776601683794,0.0,0.0,0.9660917830792959,0.42163702135578396,1.8408935028645435,0.31622776601683794,121.89412528000591,5556.0128189596935,222.87904043823113,100.32303380137142,6.276056794587577,3.784471194529326,2.2211108331943574,6.447221623821123
min,1102.0,8539.0,14754.0,6203.0,0.0,0.0,2326.0,2.0,0.0,0.0,8254.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1178.0,139.0,25.0,11.0,3.0,0.0,7.0
25%,1633.0,16257.5,21906.75,10248.0,2.0,1738.0,8972.0,5.0,0.0,2.0,13409.75,15.0,0.0,3.5,0.0,2.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,2255.25,229.25,112.75,13.25,4.5,1.0,13.25
50%,1734.5,19968.0,25237.0,11698.5,2.5,3643.5,16127.0,6.0,0.0,3.5,14476.5,15.0,0.0,6.5,0.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,208.5,5742.5,321.0,154.5,15.5,8.5,2.0,15.0
75%,1969.25,25664.75,28792.25,14345.25,4.5,5906.5,25876.5,6.75,0.0,6.5,18859.25,17.25,0.75,12.0,2.5,6.5,6.75,0.75,0.0,0.0,0.0,1.0,0.0,2.5,0.0,250.75,10910.25,426.25,225.25,20.0,10.0,3.5,17.75
max,2335.0,44762.0,39565.0,16986.0,8.0,15332.0,42535.0,17.0,0.0,8.0,24047.0,18.0,2.0,16.0,3.0,8.0,9.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,1.0,302.0,15823.0,918.0,337.0,30.0,13.0,6.0,29.0
